"STATISTIC","Statistic Label","TLIST(A1)","Year","C04253V05027","Hazardousness","C04251V05025","Waste Category","C04252V05026","Waste Management Operation","UNIT","VALUE"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","240","Glass wastes[W071]","160","Recovery - recycling[RCV_R]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","240","Glass wastes[W071]","170","Recovery - backfilling[RCV_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","250","Paper and cardboard wastes[W072]","-","All Waste treatment[TRT]","Tonnes","118427"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","250","Paper and cardboard wastes[W072]","100","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","250","Paper and cardboard wastes[W072]","110","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","250","Paper and cardboard wastes[W072]","120","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","250","Paper and cardboard wastes[W072]","130","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","250","Paper and cardboard wastes[W072]","140","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","250","Paper and cardboard wastes[W072]","150","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes","118427"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","250","Paper and cardboard wastes[W072]","160","Recovery - recycling[RCV_R]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","250","Paper and cardboard wastes[W072]","170","Recovery - backfilling[RCV_B]","Tonnes",""
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","260","Rubber wastes[W073]","-","All Waste treatment[TRT]","Tonnes","36"
"GWA02","Waste treated","2004","2004","-","Hazardous and non-hazardous - Total[HAZ_NHAZ]","260","Rubber wastes[W073]","100","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
